"Data","Ultimo","Apertura","Massimo","Minimo","Var. %"
"23.01.2014","0,8974","0,9112","0,9133","0,8961","-1,54"
"22.01.2014","0,9114","0,9102","0,9122","0,9085","0,13"
"21.01.2014","0,9102","0,9099","0,9156","0,9082","0,01"
"20.01.2014","0,9101","0,9106","0,9132","0,9084","-0,02"
"17.01.2014","0,9103","0,9046","0,9119","0,9041","0,59"
"16.01.2014","0,9050","0,9082","0,9103","0,9029","-0,36"
"15.01.2014","0,9083","0,9024","0,9107","0,9020","0,64"
"14.01.2014","0,9025","0,8990","0,9031","0,8982","0,39"
"13.01.2014","0,8990","0,9018","0,9047","0,8985","-0,39"
"10.01.2014","0,9025","0,9071","0,9092","0,9004","-0,53"
"09.01.2014","0,9073","0,9111","0,9123","0,9061","-0,41"
"08.01.2014","0,9110","0,9090","0,9126","0,9073","0,21"
"07.01.2014","0,9091","0,9040","0,9099","0,9031","0,54"
"06.01.2014","0,9042","0,9050","0,9070","0,9016","-0,12"
"03.01.2014","0,9053","0,8991","0,9057","0,8985","0,68"
"02.01.2014","0,8992","0,8918","0,9028","0,8905","0,81"
"01.01.2014","0,8920","0,8926","0,8931","0,8906","-0,12"
"31.12.2013","0,8931","0,8877","0,8931","0,8862","0,57"
"30.12.2013","0,8880","0,8911","0,8931","0,8857","-0,40"
"27.12.2013","0,8916","0,8963","0,8966","0,8796","-0,56"
"26.12.2013","0,8966","0,8953","0,8970","0,8947","0,10"
"25.12.2013","0,8957","0,8953","0,8970","0,8953","0,02"
"24.12.2013","0,8955","0,8938","0,8972","0,8929","0,17"
"23.12.2013","0,8940","0,8951","0,8967","0,8920","-0,25"
"20.12.2013","0,8962","0,8980","0,9001","0,8929","-0,22"
"19.12.2013","0,8982","0,8939","0,8986","0,8932","0,46"
"18.12.2013","0,8941","0,8848","0,8949","0,8839","1,03"
"17.12.2013","0,8850","0,8871","0,8895","0,8831","-0,27"
"16.12.2013","0,8874","0,8893","0,8907","0,8843","-0,21"
"13.12.2013","0,8893","0,8891","0,8917","0,8878","0,01"
"12.12.2013","0,8892","0,8865","0,8909","0,8844","0,30"
"11.12.2013","0,8865","0,8870","0,8886","0,8838","-0,10"
"10.12.2013","0,8874","0,8905","0,8908","0,8848","-0,35"
"09.12.2013","0,8905","0,8929","0,8934","0,8893","-0,18"
"06.12.2013","0,8921","0,8966","0,8983","0,8910","-0,51"
"05.12.2013","0,8967","0,9023","0,9048","0,8954","-0,63"
"04.12.2013","0,9024","0,9042","0,9076","0,9011","-0,22"
"03.12.2013","0,9044","0,9086","0,9100","0,9018","-0,46"
"02.12.2013","0,9086","0,9056","0,9109","0,9040","0,26"
"29.11.2013","0,9062","0,9055","0,9070","0,9025","0,08"
"28.11.2013","0,9055","0,9075","0,9086","0,9039","-0,23"
"27.11.2013","0,9076","0,9061","0,9092","0,9039","0,12"
"26.11.2013","0,9065","0,9118","0,9119","0,9058","-0,59"
"25.11.2013","0,9119","0,9070","0,9131","0,9058","0,56"
"22.11.2013","0,9068","0,9127","0,9150","0,9063","-0,67"
"21.11.2013","0,9129","0,9160","0,9188","0,9124","-0,36"
"20.11.2013","0,9162","0,9108","0,9189","0,9075","0,56"
"19.11.2013","0,9111","0,9129","0,9144","0,9100","-0,24"
"18.11.2013","0,9133","0,9145","0,9162","0,9092","-0,20"
"15.11.2013","0,9151","0,9161","0,9191","0,9127","-0,15"
"14.11.2013","0,9165","0,9133","0,9188","0,9123","0,30"
