Date	Price	Open	High	Low	Vol.	Change %
Jan 23, 2014	121.79	120.97	122.02	120.97	11.04M	2.18
Jan 22, 2014	119.19	119.65	119.77	119.17	4.90M	-0.43
Jan 21, 2014	119.70	119.23	119.97	119.23	6.77M	-1.02
Jan 17, 2014	120.93	120.35	121.02	120.20	7.93M	0.95
Jan 16, 2014	119.79	119.84	119.96	119.57	3.95M	0.11
Jan 15, 2014	119.66	119.19	119.81	119.11	5.48M	-0.19
Jan 14, 2014	119.89	120.54	121.06	119.72	7.51M	-0.93
Jan 13, 2014	121.02	120.27	121.04	120.20	5.88M	0.63
Jan 10, 2014	120.26	119.72	120.43	119.58	7.99M	1.52
Jan 09, 2014	118.46	118.11	118.69	117.99	3.97M	0.29
Jan 08, 2014	118.12	117.99	118.52	117.50	7.43M	-0.59
Jan 07, 2014	118.82	118.46	118.92	118.13	6.44M	-0.57
Jan 06, 2014	119.50	119.76	120.39	117.11	10.11M	0.18
Jan 03, 2014	119.29	118.64	119.62	118.59	5.88M	1.09
Jan 02, 2014	118.00	117.93	118.73	117.75	7.57M	1.62
Dec 31, 2013	116.12	114.61	117.13	114.46	12.84M	0.63
Dec 30, 2013	115.39	116.37	116.40	115.18	6.71M	-1.48
Dec 27, 2013	117.12	117.31	117.38	116.85	4.21M	0.33
Dec 26, 2013	116.74	117.23	117.23	116.65	3.87M	0.55
Dec 24, 2013	116.10	115.79	116.29	115.71	3.35M	0.46
Dec 23, 2013	115.57	115.61	116.12	115.43	6.24M	-0.32
Dec 20, 2013	115.94	115.37	116.47	115.06	14.70M	0.98
Dec 19, 2013	114.82	115.97	116.06	114.50	15.98M	-2.37
Dec 18, 2013	117.61	119.00	120.05	117.29	16.27M	-0.88
Dec 17, 2013	118.65	118.96	119.90	118.37	8.59M	-0.87
Dec 16, 2013	119.69	119.26	120.77	118.97	8.19M	0.26
Dec 13, 2013	119.38	118.89	119.49	118.76	6.48M	0.92
Dec 12, 2013	118.29	118.61	118.82	118.03	8.81M	-2.13
Dec 11, 2013	120.86	121.49	121.81	120.76	9.93M	-0.79
Dec 10, 2013	121.82	122.14	122.32	121.47	9.16M	1.75
Dec 09, 2013	119.72	118.99	119.92	118.95	5.51M	0.99
Dec 06, 2013	118.55	118.86	119.26	118.01	7.91M	0.21
Dec 05, 2013	118.30	118.20	119.24	117.41	10.25M	-1.38
Dec 04, 2013	119.96	118.33	120.76	118.16	9.11M	1.70
Dec 03, 2013	117.96	117.58	118.31	117.23	7.00M	0.32
