"Data","Ultimo","Apertura","Massimo","Minimo","Var. %"
"23.01.2014","103,27","104,50","104,84","102,95","-1,20"
"22.01.2014","104,52","104,28","104,58","103,95","0,19"
"21.01.2014","104,32","104,18","104,76","104,01","0,13"
"20.01.2014","104,18","104,26","104,34","103,84","-0,12"
"17.01.2014","104,31","104,33","104,50","104,17","-0,05"
"16.01.2014","104,36","104,54","104,94","104,12","-0,19"
"15.01.2014","104,56","104,20","104,69","104,06","0,33"
"14.01.2014","104,22","102,97","104,28","102,97","1,18"
"13.01.2014","103,00","104,09","104,13","102,83","-1,10"
"10.01.2014","104,15","104,83","105,12","103,82","-0,65"
"09.01.2014","104,83","104,83","105,05","104,55","-0,03"
"08.01.2014","104,86","104,58","105,12","104,56","0,23"
"07.01.2014","104,62","104,20","104,73","104,16","0,38"
"06.01.2014","104,22","104,85","104,94","103,88","-0,61"
"03.01.2014","104,86","104,78","104,87","104,05","0,09"
"02.01.2014","104,77","105,23","105,44","104,52","-0,46"
"01.01.2014","105,25","105,28","105,40","105,18","-0,06"
"31.12.2013","105,31","105,13","105,35","104,83","0,14"
"30.12.2013","105,16","105,13","105,41","104,95","-0,01"
"27.12.2013","105,17","104,79","105,18","104,62","0,34"
"26.12.2013","104,81","104,35","104,84","104,35","0,41"
"25.12.2013","104,38","104,33","104,49","104,24","0,02"
"24.12.2013","104,36","104,09","104,41","104,07","0,24"
"23.12.2013","104,11","104,08","104,12","103,75","0,03"
"20.12.2013","104,08","104,23","104,63","103,84","-0,16"
"19.12.2013","104,25","104,24","104,36","103,78","-0,03"
"18.12.2013","104,28","102,65","104,35","102,53","1,57"
"17.12.2013","102,67","103,00","103,10","102,47","-0,35"
"16.12.2013","103,03","103,19","103,32","102,62","-0,18"
"13.12.2013","103,22","103,36","103,92","102,97","-0,15"
"12.12.2013","103,38","102,41","103,43","102,35","0,92"
"11.12.2013","102,44","102,85","102,94","102,19","-0,39"
"10.12.2013","102,84","103,27","103,39","102,55","-0,43"
"09.12.2013","103,28","102,90","103,33","102,86","0,36"
"06.12.2013","102,91","101,76","102,96","101,61","1,11"
"05.12.2013","101,78","102,34","102,44","101,61","-0,57"
"04.12.2013","102,36","102,48","102,83","101,81","-0,16"
"03.12.2013","102,52","102,93","103,37","101,97","-0,42"
"02.12.2013","102,95","102,42","103,13","102,20","0,50"
"29.11.2013","102,44","102,30","102,60","102,09","0,12"
"28.11.2013","102,32","102,13","102,37","101,91","0,15"
"27.11.2013","102,17","101,26","102,19","101,16","0,86"
"26.11.2013","101,30","101,67","101,71","101,13","-0,37"
"25.11.2013","101,68","101,25","101,91","101,11","0,39"
"22.11.2013","101,28","101,15","101,35","100,92","0,12"
"21.11.2013","101,16","100,02","101,16","99,98","1,13"
"20.11.2013","100,03","100,12","100,23","99,77","-0,12"
"19.11.2013","100,15","99,97","100,25","99,55","0,15"
"18.11.2013","100,00","100,16","100,39","99,77","-0,19"
"15.11.2013","100,19","100,00","100,43","99,93","0,17"
"14.11.2013","100,02","99,22","100,15","99,11","0,78"
"13.11.2013","99,25","99,60","99,67","99,08","-0,39"
"12.11.2013","99,64","99,13","99,79","99,07","0,48"
"11.11.2013","99,16","99,16","99,30","98,89","0,08"
"08.11.2013","99,08","98,08","99,21","97,96","1,01"
"07.11.2013","98,09","98,65","99,41","97,63","-0,58"
"06.11.2013","98,66","98,49","98,75","98,38","0,16"
"05.11.2013","98,50","98,59","98,67","98,14","-0,11"
"04.11.2013","98,61","98,70","98,84","98,51","-0,08"
"01.11.2013","98,69","98,33","98,84","97,79","0,34"
"31.10.2013","98,36","98,50","98,57","98,07","-0,15"
"30.10.2013","98,51","98,17","98,67","98,05","0,33"
"29.10.2013","98,19","97,65","98,27","97,43","0,52"
"28.10.2013","97,68","97,55","97,79","97,43","0,27"
"25.10.2013","97,42","97,27","97,49","96,92","0,14"
"24.10.2013","97,28","97,37","97,61","97,15","-0,10"
"23.10.2013","97,38","98,12","98,19","97,13","-0,77"
"22.10.2013","98,14","98,17","98,48","97,86","-0,05"
"21.10.2013","98,19","97,70","98,24","97,66","0,47"
"18.10.2013","97,73","97,90","98,15","97,53","-0,18"
"17.10.2013","97,91","98,76","99,00","97,71","-0,87"
"16.10.2013","98,77","98,15","98,97","98,12","0,61"
"15.10.2013","98,17","98,55","98,70","98,07","-0,42"
"14.10.2013","98,58","98,07","98,58","98,05","0,00"
"11.10.2013","98,58","98,13","98,59","97,90","0,43"
"10.10.2013","98,16","97,33","98,27","97,30","0,84"
"09.10.2013","97,34","96,86","97,65","96,79","0,47"
"08.10.2013","96,88","96,69","97,25","96,55","0,18"
"07.10.2013","96,71","97,42","97,44","96,66","-0,78"
"04.10.2013","97,47","97,24","97,48","96,93","0,21"
"03.10.2013","97,27","97,32","97,87","96,92","-0,09"
"02.10.2013","97,36","97,97","98,08","97,12","-0,65"
"01.10.2013","98,00","98,19","98,72","97,64","-0,23"
"30.09.2013","98,23","97,92","98,46","97,48","-0,03"
"27.09.2013","98,26","98,97","99,04","98,07","-0,74"
"26.09.2013","98,99","98,44","99,13","98,24","0,56"
"25.09.2013","98,44","98,73","98,81","98,35","-0,29"
"24.09.2013","98,73","98,83","99,17","98,45","-0,11"
"23.09.2013","98,84","99,15","99,36","98,62","-0,47"
"20.09.2013","99,31","99,47","99,67","99,14","-0,14"
"19.09.2013","99,45","97,93","99,58","97,85","1,54"
"18.09.2013","97,94","99,11","99,33","97,75","-1,19"
"17.09.2013","99,12","99,04","99,38","98,97","0,04"
"16.09.2013","99,08","99,45","99,48","98,53","-0,28"
"13.09.2013","99,36","99,54","99,97","99,17","-0,19"
"12.09.2013","99,55","99,87","99,99","98,99","-0,33"
"11.09.2013","99,88","100,37","100,60","99,77","-0,53"
"10.09.2013","100,41","99,56","100,46","99,46","0,83"
"09.09.2013","99,58","99,82","100,10","99,32","0,47"
"06.09.2013","99,11","100,09","100,22","98,53","-1,01"
"05.09.2013","100,12","99,73","100,19","99,55","0,36"
"04.09.2013","99,76","99,56","99,82","99,30","0,18"
"03.09.2013","99,58","99,32","99,86","99,14","0,25"
"02.09.2013","99,33","98,34","99,42","98,25","1,18"
"30.08.2013","98,17","98,36","98,47","97,86","-0,18"
"29.08.2013","98,35","97,62","98,51","97,43","0,73"
"28.08.2013","97,64","97,01","97,83","96,83","0,63"
"27.08.2013","97,03","98,50","98,53","96,96","-1,50"
"26.08.2013","98,51","98,20","98,84","98,19","-0,24"
"23.08.2013","98,75","98,71","99,15","98,38","0,02"
"22.08.2013","98,73","97,66","98,80","97,55","1,09"
"21.08.2013","97,67","97,25","97,98","97,10","0,40"
"20.08.2013","97,28","97,55","97,86","96,88","-0,29"
"19.08.2013","97,56","97,51","98,12","97,34","0,03"
"16.08.2013","97,53","97,35","97,77","97,03","0,16"
"15.08.2013","97,37","98,11","98,64","97,09","-0,78"
"14.08.2013","98,14","98,19","98,42","97,84","-0,06"
"13.08.2013","98,20","96,88","98,34","96,83","1,33"
